"","subject","age.x","sex.x","Antisocial_Asses1","Antisocial_Asses2","Antisocial_Asses3","Antisocial_Asses4","Antisocial_Asses5","Antisocial_HowMany1","Antisocial_HowMany2","Antisocial_HowMany3","Antisocial_HowMany4","Antisocial_HowMany5","Antisocial_HowOften1","Antisocial_HowOften2","Antisocial_HowOften3","Antisocial_HowOften4","Antisocial_HowOften5","Antisocial_Recom1","Antisocial_Recom2","Antisocial_Recom3","Antisocial_Recom4","Antisocial_Recom5","IU1","IU10","IU11","IU12","IU2","IU3","IU4","IU5","IU6","IU7","IU8","IU9","PDS1","PDS2","PDS3","Pref1","Pref10","Pref11","Pref2","Pref3","Pref4","Pref5","Pref6","Pref7","Pref8","Pref9","Rebel_Asses1","Rebel_Asses2","Rebel_Asses3","Rebel_Asses4","Rebel_Asses5","Rebel_HowMany1","Rebel_HowMany2","Rebel_HowMany3","Rebel_HowMany4","Rebel_HowMany5","Rebel_HowOften1","Rebel_HowOften2","Rebel_HowOften3","Rebel_HowOften4","Rebel_HowOften5","Rebel_Recom1","Rebel_Recom2","Rebel_Recom3","Rebel_Recom4","Rebel_Recom5","Reckless_Asses1","Reckless_Asses2","Reckless_Asses3","Reckless_Asses4","Reckless_Asses5","Reckless_HowMany1","Reckless_HowMany2","Reckless_HowMany3","Reckless_HowMany4","Reckless_HowMany5","Reckless_HowOften1","Reckless_HowOften2","Reckless_HowOften3","Reckless_HowOften4","Reckless_HowOften5","Reckless_Recom1","Reckless_Recom2","Reckless_Recom3","Reckless_Recom4","Reckless_Recom5","SOEP","Thrill_Asses1","Thrill_Asses2","Thrill_Asses3","Thrill_Asses4","Thrill_Asses5","Thrill_Asses6","Thrill_Asses7","Thrill_HowMany1","Thrill_HowMany2","Thrill_HowMany3","Thrill_HowMany4","Thrill_HowMany5","Thrill_HowMany6","Thrill_HowMany7","Thrill_HowOften1","Thrill_HowOften2","Thrill_HowOften3","Thrill_HowOften4","Thrill_HowOften5","Thrill_HowOften6","Thrill_HowOften7","Thrill_Recom1","Thrill_Recom2","Thrill_Recom3","Thrill_Recom4","Thrill_Recom5","Thrill_Recom6","Thrill_Recom7","SumAntisocial","SumAntisocial_HowMany","SumAntisocial_HowOften","SumAntisocial_Recom","SumThrill","SumThrill_HowMany","SumThrill_HowOften","SumThrill_Recom","SumReckless","SumReckless_HowMany","SumReckless_HowOften","SumReckless_Recom","SumRebel","SumRebel_HowMany","SumRebel_HowOften","SumRebel_Recom","SumIU","meanChangeTowardsRisky_Uncertain_0","meanChangeTowardsRisky_Uncertain_1","meanChangeTowardsSafe_Uncertain_0","meanChangeTowardsSafe_Uncertain_1","MinInEyesSum","numberFowards","numberBackwards","cftScore"
"127",127,"25","Weiblich",2,4,3,2,3,2,0,0,2,0,1,0,0,2,0,1,0,0,2,0,2,2,2,2,3,2,2,2,2,2,2,2,3,3,0,1,0,1,2,2,0,3,0,2,2,0,2,3,2,4,3,3,2,1,0,3,1,0,0,0,1,1,0,0,0,1,3,2,3,3,2,0,4,1,0,4,0,3,1,0,1,0,1,0,0,3,6,2,2,2,2,1,1,2,0,0,0,0,2,4,1,0,0,0,0,1,2,1,2,2,2,1,2,4,1,14,4,3,3,12,7,4,14,13,9,5,4,14,9,2,2,25,NA,NA,NA,NA,NA,11,11,13
"128",128,"22","Maennlich",2,4,3,0,3,2,1,1,3,2,2,0,1,2,2,0,0,1,2,0,1,0,2,1,3,0,2,1,0,1,2,0,3,2,3,1,0,0,3,0,1,0,0,0,3,2,2,3,2,3,0,4,4,4,3,4,4,2,4,2,4,2,0,3,1,3,4,1,2,4,1,1,4,3,1,1,2,3,4,1,3,1,2,1,0,2,6,2,1,1,0,1,0,2,3,0,1,1,2,2,2,4,0,0,1,3,2,0,4,2,2,4,3,2,1,12,9,7,3,7,11,10,18,12,10,13,6,10,19,16,9,13,NA,NA,NA,NA,NA,12,12,13
"129",129,"25","Maennlich",1,3,2,0,2,2,0,0,2,1,1,0,0,2,1,1,0,0,2,0,1,0,1,0,1,0,0,3,0,1,3,1,3,3,3,1,0,0,3,2,1,2,1,2,1,2,1,2,3,4,1,3,2,2,1,2,2,0,1,0,2,2,0,0,1,2,1,1,2,3,0,1,3,3,2,2,1,3,4,0,1,1,1,1,0,2,8,2,1,2,2,1,0,0,3,0,0,0,1,3,1,0,0,0,0,1,3,0,3,1,1,1,3,3,0,8,5,4,3,8,8,4,12,7,11,9,5,11,10,5,5,11,NA,NA,NA,NA,NA,10,10,13
"130",130,"22","Maennlich",2,3,2,1,2,1,0,2,3,1,2,2,3,3,2,1,0,1,3,0,1,0,4,2,2,2,2,1,1,0,3,1,2,3,3,3,3,0,3,1,3,3,1,2,2,0,4,4,3,3,2,2,3,2,3,3,0,2,1,2,2,0,0,0,1,4,3,2,3,2,2,2,3,1,1,3,2,4,3,2,2,1,2,2,2,3,8,3,2,2,1,1,0,2,1,2,1,0,2,3,2,2,2,2,0,2,4,1,2,3,2,3,3,4,1,10,7,12,5,11,11,13,18,12,10,13,10,16,13,7,5,19,NA,NA,NA,NA,NA,8,10,8
"131",131,"22","Weiblich",0,4,4,0,4,3,0,0,4,0,3,0,0,3,0,2,0,0,4,0,4,3,1,4,4,4,4,4,4,4,4,3,3,3,0,1,0,0,2,2,3,2,0,2,2,0,4,1,4,4,2,2,1,2,0,3,0,1,0,0,2,0,1,0,0,2,4,0,4,4,0,0,2,0,0,4,0,2,0,0,4,0,2,0,0,4,1,3,3,4,0,0,0,0,4,1,3,1,2,4,2,2,1,1,2,2,4,2,3,1,1,2,4,4,1,12,7,6,6,10,17,14,16,12,6,6,6,15,8,3,3,43,NA,NA,NA,NA,NA,10,15,13
"132",132,"24","Weiblich",0,4,3,0,2,2,0,0,4,1,1,0,1,3,1,0,0,0,3,0,1,2,0,2,1,1,1,1,1,4,0,2,1,3,0,2,3,0,3,1,3,3,1,2,3,0,0,3,2,3,0,4,4,4,3,4,3,3,3,3,4,2,0,2,1,3,0,1,3,4,2,0,4,4,2,4,0,4,3,0,1,0,2,0,0,1,3,2,3,1,2,0,0,0,3,0,1,0,3,4,3,0,0,1,0,2,3,3,2,0,1,1,3,2,2,9,7,6,3,8,14,9,11,10,14,8,3,8,19,16,8,16,NA,NA,NA,NA,NA,9,11,10
"133",133,"23","Maennlich",1,4,1,0,2,2,1,1,3,1,1,1,1,3,1,1,2,1,2,1,2,4,3,1,3,3,3,4,0,2,3,2,3,3,3,3,2,3,1,1,1,1,1,0,1,0,3,3,2,3,2,2,1,2,2,2,0,0,0,4,4,0,0,0,1,2,2,0,1,3,2,0,3,1,1,3,1,4,0,0,0,1,2,2,0,3,7,2,1,2,1,1,0,2,1,2,0,0,1,1,1,0,1,0,0,0,2,1,2,4,2,3,1,4,2,8,8,7,7,9,6,4,18,8,8,5,8,13,9,8,3,30,-0.0357142857142857,0.107142857142857,0,0.125,24,15,13,14
"134",134,"22","Maennlich",0,4,3,1,2,1,0,1,1,0,1,0,0,2,0,1,0,0,1,0,1,1,1,1,2,1,3,1,1,2,2,0,3,3,3,3,0,3,3,0,3,0,0,0,2,0,3,3,2,4,1,3,2,3,0,3,3,1,2,0,3,2,0,2,0,2,3,1,2,2,1,2,2,3,1,2,2,2,2,1,4,1,2,1,1,3,4,3,1,1,1,1,0,1,2,0,0,0,3,3,1,3,0,0,0,4,4,1,4,1,1,2,4,3,2,10,3,3,2,8,9,12,17,9,10,11,8,13,11,9,6,16,0.166666666666667,0.208333333333333,0.0833333333333333,0.166666666666667,22,12,12,14
"135",135,"20","Weiblich",1,4,4,1,3,3,0,0,1,0,4,0,0,1,0,3,0,0,1,0,2,3,3,1,4,3,2,1,1,1,1,0,3,3,0,3,0,0,2,2,1,1,1,2,2,0,2,4,3,4,1,4,0,3,1,3,2,3,2,0,3,2,0,0,1,2,4,3,4,4,2,0,2,0,1,2,0,2,1,0,2,0,0,0,0,4,4,3,3,3,3,2,1,2,1,0,0,0,0,2,1,0,1,2,0,1,1,2,4,4,4,4,4,4,0,13,4,5,4,17,4,7,24,17,5,5,4,14,11,10,5,22,0.0555555555555556,0.0555555555555556,0,0,22,9,13,13
"136",136,"23","Weiblich",0,4,4,2,3,4,0,0,2,2,4,0,0,2,1,4,0,0,1,0,1,1,3,1,2,2,0,1,0,0,2,2,3,3,0,3,0,0,2,2,2,3,1,2,3,0,2,3,2,3,0,4,1,4,3,4,4,0,3,1,4,3,0,3,0,4,3,1,2,3,2,1,4,0,3,4,1,3,2,0,2,1,2,1,1,3,8,1,2,0,1,1,0,4,3,0,0,0,2,3,0,1,0,0,1,0,4,0,3,2,0,3,0,4,0,13,8,7,5,9,8,6,12,11,12,8,8,10,16,12,10,15,-0.0416666666666667,0.125,-0.0833333333333333,0,19,8,11,12
"137",137,"18","Weiblich",0,4,3,0,1,2,0,0,3,0,2,0,0,3,0,2,0,0,4,0,2,3,2,1,3,1,3,2,3,3,4,1,3,3,0,2,0,1,3,2,0,0,1,2,3,0,2,2,2,3,0,2,2,2,1,3,2,1,1,0,2,0,1,0,0,2,3,1,1,3,0,0,4,4,0,1,0,4,4,0,3,0,3,3,0,2,6,1,2,0,1,0,0,1,2,0,0,0,0,4,2,2,0,0,0,0,3,2,4,2,2,3,2,3,2,8,5,5,6,5,8,7,18,8,9,11,8,9,10,6,3,28,-0.0416666666666667,-0.208333333333333,0,0,18,10,13,15
"138",138,"21","Maennlich",0,4,4,0,3,3,0,1,2,1,4,0,0,2,0,3,0,0,1,0,2,1,2,2,3,3,1,1,1,3,2,0,3,3,3,1,0,1,3,0,3,1,0,3,0,2,2,4,3,4,2,3,2,3,1,3,3,0,3,0,3,3,0,3,2,3,3,1,2,4,1,1,4,3,2,3,1,2,4,1,4,1,1,1,1,3,7,3,3,4,3,1,0,3,2,0,2,1,3,2,1,3,0,2,0,4,2,0,3,3,3,1,4,4,0,11,7,6,4,17,11,11,18,11,13,12,7,15,12,9,11,21,0.272727272727273,0.227272727272727,0,0.0714285714285714,24,12,12,15
"139",139,"25","Weiblich",3,4,4,1,3,0,0,0,2,1,1,0,0,2,1,0,0,0,2,0,3,2,4,2,3,2,3,2,1,3,4,2,3,3,0,2,0,0,2,3,0,3,1,1,3,0,3,3,3,3,3,3,2,2,1,2,2,0,1,1,3,1,0,0,1,3,4,2,3,4,3,0,3,3,0,3,0,2,3,0,1,0,0,0,0,1,3,2,1,2,3,2,2,1,1,1,0,0,2,2,3,0,1,0,0,1,1,1,3,3,3,1,3,0,0,15,3,4,2,13,9,4,13,16,9,6,1,15,10,7,5,31,0.125,0.125,0.166666666666667,0.0833333333333333,24,10,12,12
